Step,Date,Market_Return,Agent_Return,Cash_Ratio,Total_Value,Reward
30,2020-05-15,-0.0298,-0.0229,0.07,97709327,-0.0906
40,2020-05-25,-0.0442,-0.0378,0.03,88536510,-0.2495
50,2020-06-04,0.0000,-0.0013,0.10,101480222,-0.0390
60,2020-06-14,-0.0077,-0.0122,0.05,130059499,-0.2112
70,2020-06-24,0.0000,-0.0014,0.13,155145341,-0.0428
80,2020-07-04,0.0392,0.0308,0.19,190853303,0.1380
90,2020-07-14,-0.0103,-0.0171,0.10,219757266,-0.3056
100,2020-07-24,0.0179,0.0198,0.04,240401260,0.2381
110,2020-08-03,-0.0108,0.0032,0.25,236472927,0.3125
120,2020-08-13,0.0000,-0.0011,0.10,222214875,-0.0315
130,2020-08-23,-0.0121,-0.0166,0.25,187029286,-0.2562
140,2020-09-02,0.0000,-0.0013,0.11,186211116,-0.0401
150,2020-09-12,0.0099,0.0057,0.28,178914107,-0.0289
160,2020-09-22,-0.0064,-0.0056,0.12,171638443,-0.0384
170,2020-10-02,0.0210,0.0148,0.08,159709511,0.0243
180,2020-10-12,0.0028,-0.0062,0.04,169761928,-0.2411
190,2020-10-22,0.0000,-0.0009,0.11,147566292,-0.0276
200,2020-11-01,0.0045,0.0035,0.05,137780888,0.0167
210,2020-11-11,0.0000,-0.0008,0.06,133372455,-0.0248
220,2020-11-21,0.0257,0.0089,0.31,145903611,-0.2472
230,2020-12-01,-0.0262,-0.0215,0.09,154286978,-0.1205
240,2020-12-11,-0.0152,-0.0134,0.04,150400583,-0.0969
250,2020-12-21,0.0313,0.0095,0.13,134887089,-0.3422
260,2020-12-31,0.0000,-0.0012,0.10,121025523,-0.0362
270,2021-01-10,-0.0246,-0.0172,0.15,106643772,-0.0231
280,2021-01-20,0.0000,-0.0014,0.25,98363108,-0.0432
290,2021-01-30,0.0006,-0.0071,0.22,107012689,-0.2241
300,2021-02-09,0.0000,-0.0008,0.07,102941970,-0.0232
310,2021-02-19,-0.0028,0.0084,0.26,103854135,0.3057
320,2021-03-01,-0.0052,-0.0034,0.23,96266348,0.0003
330,2021-03-11,0.0000,-0.0009,0.12,96474251,-0.0281
340,2021-03-21,0.0000,-0.0009,0.04,102641439,-0.0276
350,2021-03-31,0.0000,-0.0008,0.17,101428249,-0.0241
360,2021-04-10,-0.0080,-0.0105,0.13,92975080,-0.1536
370,2021-04-20,-0.0125,-0.0152,0.13,91136377,-0.2069
380,2021-04-30,-0.0261,-0.0234,0.18,90106523,-0.1797
390,2021-05-10,0.0251,0.0164,0.27,89614021,-0.0107
400,2021-05-20,0.0000,-0.0008,0.06,85092575,-0.0254
410,2021-05-30,-0.0070,-0.0089,0.26,82997965,-0.1281
420,2021-06-09,0.0000,-0.0008,0.20,84565387,-0.0231
430,2021-06-19,-0.0085,0.0018,0.13,86855464,0.2242
440,2021-06-29,0.0051,0.0127,0.15,94543518,0.2806
450,2021-07-09,-0.0217,-0.0206,0.04,90244440,-0.1846
460,2021-07-19,0.0000,-0.0006,0.20,89722061,-0.0185
470,2021-07-29,0.0000,-0.0013,0.11,88538940,-0.0378
480,2021-08-08,0.0162,0.0127,0.07,90787620,0.0560
490,2021-08-18,0.0000,-0.0010,0.12,96657828,-0.0292
500,2021-08-28,-0.0404,-0.0352,0.10,97130688,-0.2478
510,2021-09-07,0.0201,0.0204,0.03,90597438,0.2093
520,2021-09-17,-0.0334,-0.0333,0.13,83942030,-0.3296
530,2021-09-27,-0.0053,-0.0049,0.18,81098717,-0.0413
540,2021-10-07,0.0000,-0.0009,0.10,83436420,-0.0264
550,2021-10-17,0.0216,0.0114,0.25,78413926,-0.0879
560,2021-10-27,0.0000,-0.0013,0.05,75212357,-0.0377
570,2021-11-06,-0.0118,-0.0159,0.22,76637207,-0.2414
580,2021-11-16,0.0014,-0.0013,0.31,74262172,-0.0667
590,2021-11-26,-0.0338,-0.0347,0.04,70820245,-0.3647
600,2021-12-06,0.0017,0.0006,0.15,70761465,-0.0153
610,2021-12-16,0.0000,-0.0011,0.04,64721239,-0.0330
620,2021-12-26,-0.0003,-0.0028,0.09,70065302,-0.0769
630,2022-01-05,0.0000,-0.0010,0.11,66980901,-0.0289
640,2022-01-15,0.0072,0.0032,0.11,65589089,-0.0493
650,2022-01-25,0.0175,0.0138,0.12,61661045,0.0657
660,2022-02-04,0.0087,0.0083,0.06,66942429,0.0743
670,2022-02-14,0.0000,-0.0010,0.24,64997173,-0.0303
680,2022-02-24,0.0000,-0.0008,0.16,67653342,-0.0231
690,2022-03-06,-0.0120,-0.0093,0.21,68618170,-0.0390
700,2022-03-16,0.0000,-0.0009,0.04,68179280,-0.0256
710,2022-03-26,0.0161,0.0130,0.05,72079500,0.0691
720,2022-04-05,-0.0322,-0.0329,0.07,71703892,-0.3433
730,2022-04-15,-0.0034,-0.0028,0.10,68138788,-0.0171
740,2022-04-25,0.0124,0.0065,0.22,69608724,-0.0541
750,2022-05-05,0.0000,-0.0008,0.23,70533919,-0.0230
760,2022-05-15,0.0058,0.0006,0.03,71391666,-0.0960
770,2022-05-25,0.0000,-0.0010,0.16,68776091,-0.0287
780,2022-06-04,0.0000,-0.0012,0.13,65890882,-0.0354
790,2022-06-14,-0.0034,-0.0044,0.17,65133610,-0.0649
800,2022-06-24,-0.0085,-0.0191,0.07,62949634,-0.4033
810,2022-07-04,0.0034,-0.0004,0.08,61346175,-0.0798
820,2022-07-14,0.0000,-0.0007,0.10,58727488,-0.0224
830,2022-07-24,-0.0221,-0.0175,0.10,56683797,-0.0841
840,2022-08-03,0.0000,-0.0009,0.31,56961844,-0.0262
850,2022-08-13,-0.0071,-0.0082,0.25,59362499,-0.1022
860,2022-08-23,0.0137,0.0107,0.06,59819468,0.0460
870,2022-09-02,-0.0300,-0.0208,0.29,56295114,-0.0235
880,2022-09-12,0.0116,0.0112,0.03,54917901,0.1024
890,2022-09-22,0.0000,-0.0011,0.18,52278603,-0.0345
900,2022-10-02,-0.0071,-0.0076,0.15,50327696,-0.0846
910,2022-10-12,0.0000,-0.0010,0.15,50615063,-0.0286
920,2022-10-22,-0.0047,-0.0050,0.12,48797463,-0.0559
930,2022-11-01,0.0067,0.0047,0.09,48946929,0.0074
940,2022-11-11,-0.0095,-0.0081,0.09,53834767,-0.0525
950,2022-11-21,0.0068,0.0020,0.08,52699378,-0.0776
960,2022-12-01,0.0000,-0.0012,0.21,51907652,-0.0355
970,2022-12-11,0.0309,0.0273,0.04,52775137,0.2006
980,2022-12-21,0.0000,-0.0008,0.19,54566224,-0.0244
990,2022-12-31,0.0017,0.0054,0.13,57043989,0.1271
1000,2023-01-10,-0.0281,-0.0248,0.21,60532837,-0.1825
1010,2023-01-20,-0.0314,-0.0316,0.13,60472890,-0.3201
1020,2023-01-30,0.0131,0.0120,0.04,55402460,0.0975
1030,2023-02-09,0.0000,-0.0004,0.14,54887552,-0.0131
1040,2023-02-19,0.0432,0.0398,0.14,56741637,0.3291
1050,2023-03-01,0.0000,-0.0010,0.25,63251294,-0.0306
1060,2023-03-11,-0.0177,-0.0166,0.22,64044940,-0.1445
1070,2023-03-21,0.0000,-0.0009,0.13,70843898,-0.0259
1080,2023-03-31,0.0000,-0.0013,0.05,75813426,-0.0381
1090,2023-04-10,0.0145,0.0156,0.04,76400338,0.1762
1100,2023-04-20,0.0000,-0.0011,0.10,78890994,-0.0332
1110,2023-04-30,0.0077,0.0090,0.06,82024982,0.1173
1120,2023-05-10,0.0000,-0.0007,0.16,75794970,-0.0196
1130,2023-05-20,0.0251,0.0248,0.04,77223983,0.2440
1140,2023-05-30,-0.0054,-0.0059,0.09,75439144,-0.0685
1150,2023-06-09,-0.0443,-0.0449,0.07,72221409,-0.4617
1160,2023-06-19,0.0107,0.0109,0.05,71030725,0.1126
1170,2023-06-29,0.0000,-0.0005,0.14,69058342,-0.0142
1180,2023-07-09,-0.0156,-0.0119,0.24,66943783,-0.0448
1190,2023-07-19,0.0000,-0.0008,0.08,63323145,-0.0242
1200,2023-07-29,-0.0251,-0.0242,0.07,58913549,-0.2261
1210,2023-08-08,-0.0047,-0.0043,0.19,62170326,-0.0338
1220,2023-08-18,-0.0153,-0.0109,0.37,58699216,-0.0210
1230,2023-08-28,0.0053,0.0015,0.04,64085246,-0.0603
1240,2023-09-07,0.0000,-0.0011,0.14,66413084,-0.0316
1250,2023-09-17,-0.0069,-0.0046,0.17,65641812,-0.0000
1260,2023-09-27,0.0000,-0.0009,0.10,63949247,-0.0275
1270,2023-10-07,-0.0311,-0.0229,0.17,59797486,-0.0630
1280,2023-10-17,-0.0004,-0.0035,0.10,60983386,-0.0963
1290,2023-10-27,-0.0435,-0.0413,0.08,58432372,-0.3681
1300,2023-11-06,0.0191,0.0138,0.18,61921845,0.0317
1310,2023-11-16,0.0000,-0.0013,0.04,59747793,-0.0395
1320,2023-11-26,-0.0067,-0.0041,0.11,58368842,0.0104
1330,2023-12-06,0.0000,-0.0016,0.04,63928399,-0.0469
1340,2023-12-16,0.0000,-0.0012,0.25,62506180,-0.0358
1350,2023-12-26,0.0031,0.0028,0.08,62572031,0.0226
1360,2024-01-05,0.0040,0.0047,0.05,61562497,0.0608
1370,2024-01-15,-0.0024,-0.0030,0.03,61794316,-0.0414
1380,2024-01-25,0.0000,-0.0012,0.15,59012890,-0.0359
1390,2024-02-04,-0.0033,-0.0065,0.04,57020076,-0.1307
1400,2024-02-14,0.0000,-0.0017,0.08,55726200,-0.0500
1410,2024-02-24,0.0000,-0.0010,0.05,53840497,-0.0302
1420,2024-03-05,-0.0004,-0.0003,0.12,56745507,-0.0016
1430,2024-03-15,0.0082,0.0056,0.08,56723458,0.0046
1440,2024-03-25,-0.0041,-0.0055,0.06,59740521,-0.0831
1450,2024-04-04,0.0000,-0.0013,0.28,57881475,-0.0383
1460,2024-04-14,0.0113,0.0099,0.06,56585188,0.0725
1470,2024-04-24,0.0000,-0.0014,0.03,59059653,-0.0424
1480,2024-05-04,-0.0125,-0.0143,0.08,56029631,-0.1776
1490,2024-05-14,0.0139,0.0070,0.24,52521204,-0.0676
1500,2024-05-24,-0.0146,-0.0129,0.06,50278062,-0.0959
1510,2024-06-03,0.0000,-0.0008,0.03,51174109,-0.0246
1520,2024-06-13,0.0000,-0.0010,0.22,53010739,-0.0307
1530,2024-06-23,0.0144,0.0140,0.06,52284925,0.1306
1540,2024-07-03,0.0000,-0.0011,0.11,52610399,-0.0325
1550,2024-07-13,0.0041,0.0010,0.04,52628616,-0.0526
1560,2024-07-23,-0.0050,-0.0055,0.05,49916556,-0.0652
1570,2024-08-02,-0.0619,-0.0485,0.24,44427978,-0.2181
1580,2024-08-12,-0.0026,-0.0015,0.28,43694333,0.0073
1590,2024-08-22,0.0000,-0.0013,0.08,45355693,-0.0402
1600,2024-09-01,0.0000,-0.0009,0.12,46706871,-0.0269
1610,2024-09-11,0.0000,-0.0007,0.03,45171327,-0.0201
1620,2024-09-21,-0.0035,-0.0068,0.04,45130950,-0.1334
1630,2024-10-01,-0.0063,-0.0065,0.08,44941818,-0.0683
1640,2024-10-11,0.0154,0.0157,0.04,44689769,0.1617
1650,2024-10-21,-0.0179,-0.0170,0.04,39630408,-0.1524
1660,2024-10-31,0.0000,-0.0015,0.05,41543185,-0.0441
1670,2024-11-10,0.0214,0.0185,0.23,42312158,0.1276
1680,2024-11-20,0.0000,-0.0007,0.19,45802899,-0.0201
1690,2024-11-30,0.0041,-0.0003,0.24,48474937,-0.0908
1700,2024-12-10,0.0387,0.0341,0.06,52389133,0.2487
1710,2024-12-20,0.0148,0.0138,0.08,56068550,0.1181
1720,2024-12-30,0.0135,0.0127,0.17,55352845,0.1114
1730,2025-01-09,0.0000,-0.0010,0.05,56801896,-0.0291
1740,2025-01-19,-0.0274,-0.0312,0.10,51390809,-0.3892
1750,2025-01-29,0.0000,-0.0016,0.03,51848364,-0.0474
1760,2025-02-08,-0.0084,-0.0031,0.36,51925791,0.0756
1770,2025-02-18,-0.0008,-0.0024,0.27,50337594,-0.0544
1780,2025-02-28,0.0093,0.0077,0.08,53425754,0.0433
1790,2025-03-10,-0.0208,-0.0230,0.18,50365613,-0.2739
1800,2025-03-20,0.0000,-0.0012,0.04,50132927,-0.0362
1810,2025-03-30,0.0000,-0.0014,0.03,52472764,-0.0408
1820,2025-04-09,0.0000,-0.0013,0.12,51652662,-0.0396
1830,2025-04-19,0.0203,0.0159,0.04,55749455,0.0703
1840,2025-04-29,0.0179,0.0152,0.05,61570522,0.0998
1850,2025-05-09,-0.0218,-0.0238,0.05,58382475,-0.2774
1860,2025-05-19,-0.0236,-0.0201,0.15,57849683,-0.1311
1870,2025-05-29,0.0000,-0.0012,0.04,56288941,-0.0351
1880,2025-06-08,-0.0243,-0.0210,0.19,52028674,-0.1430
1890,2025-06-18,0.0000,-0.0012,0.14,52056998,-0.0348
1900,2025-06-28,-0.0250,-0.0242,0.03,49616125,-0.2269
1910,2025-07-08,0.0033,0.0036,0.06,46900923,0.0409
1920,2025-07-18,0.0020,0.0000,0.05,48732469,-0.0406
1930,2025-07-28,-0.0129,-0.0097,0.18,47274863,-0.0329
1940,2025-08-07,0.0000,-0.0012,0.14,40746756,-0.0370
1950,2025-08-17,-0.0000,0.0032,0.09,39001458,0.0953
1960,2025-08-27,0.0000,-0.0009,0.04,37207968,-0.0266
1970,2025-09-06,0.0330,0.0243,0.23,40306706,0.0683
1980,2025-09-16,-0.0214,-0.0212,0.08,40131917,-0.2095
1990,2025-09-26,0.0189,0.0110,0.32,39689137,-0.0479
2000,2025-10-06,0.0332,0.0307,0.08,45488506,0.2587
2010,2025-10-16,0.0000,-0.0010,0.10,46192995,-0.0293
2020,2025-10-26,0.0232,0.0224,0.03,48310370,0.2082
2030,2025-11-05,0.0000,-0.0008,0.25,49676916,-0.0247
2040,2025-11-15,0.0242,0.0218,0.04,48085292,0.1703
2050,2025-11-25,-0.0161,-0.0184,0.04,49183801,-0.2310
2060,2025-12-05,0.0227,0.0194,0.06,50570813,0.1293
2070,2025-12-15,-0.0182,-0.0234,0.08,53360947,-0.3381
2080,2025-12-25,0.0000,-0.0007,0.16,57029235,-0.0222
2090,2026-01-04,0.0233,0.0147,0.22,57537412,-0.0255
2100,2026-01-14,0.0000,-0.0009,0.12,57677655,-0.0280
2110,2026-01-24,-0.0293,-0.0256,0.17,54062925,-0.1845
2120,2026-02-03,0.0000,-0.0010,0.05,50904073,-0.0302
2130,2026-02-13,-0.0305,-0.0284,0.20,49081179,-0.2444
30,2020-05-15,-0.0298,-0.0389,0.04,96109677,-0.5705
40,2020-05-25,-0.0442,-0.0377,0.22,90981221,-0.2472
50,2020-06-04,0.0000,-0.0009,0.10,104144575,-0.0257
60,2020-06-14,-0.0077,-0.0077,0.19,127526506,-0.0781
70,2020-06-24,0.0000,-0.0012,0.03,151874752,-0.0362
80,2020-07-04,0.0392,0.0328,0.06,182838833,0.1999
90,2020-07-14,-0.0103,-0.0041,0.05,210428888,0.0837
100,2020-07-24,0.0179,0.0259,0.20,227816107,0.4193
110,2020-08-03,-0.0108,-0.0086,0.25,218168666,-0.0435
120,2020-08-13,0.0000,-0.0014,0.30,209824536,-0.0433
130,2020-08-23,-0.0121,-0.0143,0.26,178064565,-0.1887
140,2020-09-02,0.0000,-0.0010,0.13,180046653,-0.0288
150,2020-09-12,0.0099,0.0065,0.06,175936837,-0.0025
160,2020-09-22,-0.0064,-0.0023,0.05,173736225,0.0580
170,2020-10-02,0.0210,0.0223,0.07,161795519,0.2494
180,2020-10-12,0.0028,-0.0032,0.27,170057441,-0.1527
190,2020-10-22,0.0000,-0.0011,0.13,146566688,-0.0336
200,2020-11-01,0.0045,0.0018,0.06,133929171,-0.0363
210,2020-11-11,0.0000,-0.0012,0.09,129202833,-0.0350
220,2020-11-21,0.0257,0.0246,0.03,142891732,0.2250
230,2020-12-01,-0.0262,-0.0200,0.19,145074042,-0.0766
240,2020-12-11,-0.0152,-0.0175,0.03,143789078,-0.2198
250,2020-12-21,0.0313,0.0250,0.18,130085824,0.1230
260,2020-12-31,0.0000,-0.0011,0.23,119906040,-0.0336
270,2021-01-10,-0.0246,-0.0344,0.05,105666455,-0.5386
280,2021-01-20,0.0000,-0.0009,0.09,97470211,-0.0255
290,2021-01-30,0.0006,0.0020,0.03,108083099,0.0479
300,2021-02-09,0.0000,-0.0013,0.31,105164362,-0.0400
310,2021-02-19,-0.0028,-0.0034,0.17,106052435,-0.0476
320,2021-03-01,-0.0052,-0.0080,0.25,96137491,-0.1373
330,2021-03-11,0.0000,-0.0014,0.08,95643506,-0.0429
340,2021-03-21,0.0000,-0.0004,0.06,103123449,-0.0129
350,2021-03-31,0.0000,-0.0008,0.18,100575142,-0.0242
360,2021-04-10,-0.0080,-0.0073,0.28,92045128,-0.0574
370,2021-04-20,-0.0125,-0.0119,0.03,91402651,-0.1059
380,2021-04-30,-0.0261,-0.0231,0.09,90627130,-0.1713
390,2021-05-10,0.0251,0.0245,0.03,92931024,0.2310
400,2021-05-20,0.0000,-0.0015,0.05,87905377,-0.0445
410,2021-05-30,-0.0070,-0.0067,0.14,83263683,-0.0604
420,2021-06-09,0.0000,-0.0014,0.14,84279429,-0.0418
430,2021-06-19,-0.0085,-0.0104,0.16,85889585,-0.1429
440,2021-06-29,0.0051,0.0067,0.05,92185242,0.1007
450,2021-07-09,-0.0217,-0.0216,0.04,86898287,-0.2145
460,2021-07-19,0.0000,-0.0008,0.27,87142816,-0.0232
470,2021-07-29,0.0000,-0.0011,0.07,84077933,-0.0321
480,2021-08-08,0.0162,0.0104,0.09,87432651,-0.0118
490,2021-08-18,0.0000,-0.0009,0.10,91160600,-0.0270
500,2021-08-28,-0.0404,-0.0461,0.06,90107730,-0.5734
510,2021-09-07,0.0201,0.0132,0.03,84029519,-0.0056
520,2021-09-17,-0.0334,-0.0279,0.13,77830188,-0.1688
530,2021-09-27,-0.0053,-0.0057,0.04,74935893,-0.0648
540,2021-10-07,0.0000,-0.0005,0.21,77182907,-0.0142
550,2021-10-17,0.0216,0.0151,0.26,72299158,0.0223
560,2021-10-27,0.0000,-0.0014,0.05,69036907,-0.0412
570,2021-11-06,-0.0118,-0.0226,0.06,68079241,-0.4426
580,2021-11-16,0.0014,-0.0007,0.22,65350269,-0.0498
590,2021-11-26,-0.0338,-0.0274,0.24,62352927,-0.1460
600,2021-12-06,0.0017,-0.0002,0.11,61862062,-0.0381
610,2021-12-16,0.0000,-0.0013,0.06,58018058,-0.0397
620,2021-12-26,-0.0003,-0.0020,0.15,63896661,-0.0545
630,2022-01-05,0.0000,-0.0013,0.08,61057539,-0.0379
640,2022-01-15,0.0072,0.0037,0.18,60143875,-0.0326
650,2022-01-25,0.0175,0.0135,0.15,56669565,0.0542
660,2022-02-04,0.0087,0.0013,0.03,61008396,-0.1362
670,2022-02-14,0.0000,-0.0008,0.09,60020042,-0.0239
680,2022-02-24,0.0000,-0.0011,0.18,60863276,-0.0319
690,2022-03-06,-0.0120,-0.0053,0.26,60857543,0.0804
700,2022-03-16,0.0000,-0.0007,0.09,61119213,-0.0202
710,2022-03-26,0.0161,0.0148,0.10,64939381,0.1217
720,2022-04-05,-0.0322,-0.0379,0.05,65958784,-0.4923
730,2022-04-15,-0.0034,-0.0050,0.11,63933763,-0.0816
740,2022-04-25,0.0124,0.0070,0.26,64610118,-0.0365
750,2022-05-05,0.0000,-0.0014,0.05,64133309,-0.0414
760,2022-05-15,0.0058,0.0014,0.04,64467823,-0.0733
770,2022-05-25,0.0000,-0.0014,0.05,62205153,-0.0412
780,2022-06-04,0.0000,-0.0011,0.26,59341594,-0.0332
790,2022-06-14,-0.0034,-0.0060,0.18,59025548,-0.1112
800,2022-06-24,-0.0085,-0.0082,0.19,57374722,-0.0747
810,2022-07-04,0.0034,0.0015,0.15,55239326,-0.0242
820,2022-07-14,0.0000,-0.0015,0.10,53014226,-0.0447
830,2022-07-24,-0.0221,-0.0152,0.08,51104327,-0.0142
840,2022-08-03,0.0000,-0.0007,0.27,52251540,-0.0218
850,2022-08-13,-0.0071,-0.0074,0.24,54296816,-0.0806
860,2022-08-23,0.0137,0.0068,0.29,53921443,-0.0707
870,2022-09-02,-0.0300,-0.0309,0.11,50044922,-0.3272
880,2022-09-12,0.0116,0.0162,0.06,49224625,0.2522
890,2022-09-22,0.0000,-0.0011,0.05,47293214,-0.0327
900,2022-10-02,-0.0071,-0.0078,0.19,46176030,-0.0919
910,2022-10-12,0.0000,-0.0011,0.11,46633303,-0.0316
920,2022-10-22,-0.0047,-0.0085,0.20,44599613,-0.1618
930,2022-11-01,0.0067,0.0045,0.04,44476837,0.0011
940,2022-11-11,-0.0095,-0.0178,0.03,49281746,-0.3436
950,2022-11-21,0.0068,0.0004,0.05,48204694,-0.1246
960,2022-12-01,0.0000,-0.0014,0.09,48155234,-0.0408
970,2022-12-11,0.0309,0.0269,0.25,48301103,0.1899
980,2022-12-21,0.0000,-0.0009,0.03,49779993,-0.0256
990,2022-12-31,0.0017,0.0047,0.11,53207344,0.1053
1000,2023-01-10,-0.0281,-0.0199,0.19,56913918,-0.0335
1010,2023-01-20,-0.0314,-0.0336,0.08,57156230,-0.3779
1020,2023-01-30,0.0131,0.0126,0.11,53349094,0.1157
1030,2023-02-09,0.0000,-0.0007,0.10,53005881,-0.0204
1040,2023-02-19,0.0432,0.0272,0.20,53835098,-0.0479
1050,2023-03-01,0.0000,-0.0011,0.14,58981081,-0.0327
1060,2023-03-11,-0.0177,-0.0149,0.04,60437431,-0.0924
1070,2023-03-21,0.0000,-0.0008,0.18,65262870,-0.0244
1080,2023-03-31,0.0000,-0.0013,0.23,67960079,-0.0392
1090,2023-04-10,0.0145,0.0148,0.03,67850151,0.1517
1100,2023-04-20,0.0000,-0.0009,0.15,71597171,-0.0255
1110,2023-04-30,0.0077,0.0110,0.17,75454225,0.1769
1120,2023-05-10,0.0000,-0.0008,0.05,71857302,-0.0242
1130,2023-05-20,0.0251,0.0171,0.17,71820481,0.0127
1140,2023-05-30,-0.0054,-0.0049,0.23,69091302,-0.0394
1150,2023-06-09,-0.0443,-0.0468,0.06,66514608,-0.5178
1160,2023-06-19,0.0107,0.0104,0.09,66044457,0.0972
1170,2023-06-29,0.0000,-0.0011,0.06,62437973,-0.0315
1180,2023-07-09,-0.0156,-0.0128,0.14,61812936,-0.0718
1190,2023-07-19,0.0000,-0.0013,0.15,58681965,-0.0405
1200,2023-07-29,-0.0251,-0.0216,0.04,55870961,-0.1473
1210,2023-08-08,-0.0047,-0.0044,0.09,59061364,-0.0367
1220,2023-08-18,-0.0153,-0.0136,0.19,55713627,-0.1006
1230,2023-08-28,0.0053,0.0054,0.03,62241808,0.0554
1240,2023-09-07,0.0000,-0.0015,0.10,64442266,-0.0443
1250,2023-09-17,-0.0069,-0.0052,0.27,63456441,-0.0189
1260,2023-09-27,0.0000,-0.0014,0.17,61009779,-0.0415
1270,2023-10-07,-0.0311,-0.0230,0.21,56922439,-0.0686
1280,2023-10-17,-0.0004,0.0012,0.04,57467087,0.0436
1290,2023-10-27,-0.0435,-0.0485,0.04,54118293,-0.5867
1300,2023-11-06,0.0191,0.0150,0.11,57970213,0.0686
1310,2023-11-16,0.0000,-0.0006,0.05,56233775,-0.0168
1320,2023-11-26,-0.0067,-0.0071,0.03,54437653,-0.0789
1330,2023-12-06,0.0000,-0.0017,0.32,59071678,-0.0511
1340,2023-12-16,0.0000,-0.0008,0.08,58026805,-0.0235
1350,2023-12-26,0.0031,0.0012,0.03,57352575,-0.0268
1360,2024-01-05,0.0040,-0.0032,0.25,55945455,-0.1760
1370,2024-01-15,-0.0024,-0.0020,0.19,56279546,-0.0133
1380,2024-01-25,0.0000,-0.0014,0.26,54145010,-0.0415
1390,2024-02-04,-0.0033,-0.0039,0.03,52496399,-0.0519
1400,2024-02-14,0.0000,-0.0007,0.08,51666403,-0.0213
1410,2024-02-24,0.0000,-0.0011,0.05,50315658,-0.0339
1420,2024-03-05,-0.0004,0.0002,0.04,54482428,0.0153
1430,2024-03-15,0.0082,0.0048,0.10,54016100,-0.0206
1440,2024-03-25,-0.0041,-0.0045,0.26,57618746,-0.0526
1450,2024-04-04,0.0000,-0.0009,0.21,55737019,-0.0282
1460,2024-04-14,0.0113,0.0069,0.27,54437596,-0.0186
1470,2024-04-24,0.0000,-0.0009,0.24,57073742,-0.0263
1480,2024-05-04,-0.0125,-0.0131,0.04,54447200,-0.1429
1490,2024-05-14,0.0139,0.0131,0.09,51730693,0.1157
1500,2024-05-24,-0.0146,-0.0188,0.07,49036232,-0.2716
1510,2024-06-03,0.0000,-0.0014,0.17,49278612,-0.0414
1520,2024-06-13,0.0000,-0.0012,0.04,50155734,-0.0358
1530,2024-06-23,0.0144,0.0111,0.21,48992859,0.0454
1540,2024-07-03,0.0000,-0.0007,0.09,49438916,-0.0217
1550,2024-07-13,0.0041,0.0021,0.10,50096474,-0.0205
1560,2024-07-23,-0.0050,-0.0055,0.14,47012797,-0.0660
1570,2024-08-02,-0.0619,-0.0560,0.10,41554956,-0.4421
1580,2024-08-12,-0.0026,-0.0025,0.04,40696699,-0.0213
1590,2024-08-22,0.0000,-0.0010,0.15,42036267,-0.0307
1600,2024-09-01,0.0000,-0.0009,0.04,43448234,-0.0265
1610,2024-09-11,0.0000,-0.0008,0.09,41986430,-0.0242
1620,2024-09-21,-0.0035,-0.0041,0.04,41728770,-0.0522
1630,2024-10-01,-0.0063,-0.0061,0.15,42174086,-0.0570
1640,2024-10-11,0.0154,0.0154,0.10,41806912,0.1533
1650,2024-10-21,-0.0179,-0.0145,0.10,36905614,-0.0756
1660,2024-10-31,0.0000,-0.0009,0.05,38435464,-0.0278
1670,2024-11-10,0.0214,0.0181,0.11,38779086,0.1152
1680,2024-11-20,0.0000,-0.0009,0.05,41712050,-0.0268
1690,2024-11-30,0.0041,0.0041,0.08,44395341,0.0411
1700,2024-12-10,0.0387,0.0388,0.04,48405694,0.3892
1710,2024-12-20,0.0148,0.0106,0.24,51355387,0.0223
1720,2024-12-30,0.0135,0.0135,0.03,50492969,0.1355
1730,2025-01-09,0.0000,-0.0010,0.10,51942561,-0.0307
1740,2025-01-19,-0.0274,-0.0210,0.16,47567007,-0.0816
1750,2025-01-29,0.0000,-0.0009,0.06,48016709,-0.0255
1760,2025-02-08,-0.0084,-0.0096,0.05,48188190,-0.1215
1770,2025-02-18,-0.0008,-0.0006,0.03,46852746,-0.0009
1780,2025-02-28,0.0093,0.0048,0.09,49842131,-0.0421
1790,2025-03-10,-0.0208,-0.0192,0.07,47643096,-0.1611
1800,2025-03-20,0.0000,-0.0009,0.14,47953048,-0.0265
1810,2025-03-30,0.0000,-0.0009,0.13,50322212,-0.0271
1820,2025-04-09,0.0000,-0.0009,0.25,50384876,-0.0260
1830,2025-04-19,0.0203,0.0186,0.06,54331512,0.1526
1840,2025-04-29,0.0179,0.0099,0.13,59942312,-0.0601
1850,2025-05-09,-0.0218,-0.0181,0.26,58639861,-0.1076
1860,2025-05-19,-0.0236,-0.0223,0.07,57282920,-0.1977
1870,2025-05-29,0.0000,-0.0007,0.14,55642001,-0.0208
1880,2025-06-08,-0.0243,-0.0189,0.28,51384793,-0.0810
1890,2025-06-18,0.0000,-0.0010,0.07,51174035,-0.0315
1900,2025-06-28,-0.0250,-0.0238,0.17,48177070,-0.2138
1910,2025-07-08,0.0033,0.0001,0.15,45565012,-0.0637
1920,2025-07-18,0.0020,0.0018,0.07,46961706,0.0130
1930,2025-07-28,-0.0129,-0.0147,0.03,45270535,-0.1824
1940,2025-08-07,0.0000,-0.0003,0.04,41330826,-0.0081
1950,2025-08-17,-0.0000,-0.0002,0.12,39454052,-0.0060
1960,2025-08-27,0.0000,-0.0013,0.33,37293534,-0.0386
1970,2025-09-06,0.0330,0.0297,0.06,40494884,0.2311
